Id_AFAD,Year,Month,Day,Hour,Min,Sec,Ev_Lat,Ev_Lon,Ev_Depth,Ml,StdMl,Rms,Erh,Erz,Gap,Np,Ns,Ntot,CovX,CovY,CovZ,CovT
430557,2019,2,5,13,55,41.02,38.758,38.14,19.02,3.74,0.3,0.2,1.4,2.6,66,13,10,23,0.9,1.2,6.5,6.7
430626,2019,2,6,20,35,12.95,39.1572,40.4505,19.32,4.24,0.31,0.23,0.7,0.5,63,20,13,33,0.2,0.3,0.3,0.4
430627,2019,2,6,20,46,40.4,39.1557,40.4523,13.8,3.15,0.29,0.19,0.8,0.4,61,18,12,30,0.2,0.5,0.2,0.5
430665,2019,2,7,16,55,59.04,38.7608,40.6867,15.86,3.01,0.24,0.34,1.2,0.7,65,15,17,32,0.5,1,0.5,1.3
430675,2019,2,7,18,2,50.12,39.8248,41.8098,11.03,3.61,0.28,0.21,1.3,3.6,121,11,7,18,1,0.6,13,13
430793,2019,2,9,3,59,34.42,38.7495,38.1365,16.25,3.1,0.12,0.18,0.9,2.6,106,11,8,19,0.4,0.4,6.7,6.7
430828,2019,2,9,22,49,7.15,39.0785,41.3983,16.01,2.51,0.23,0.14,0.6,0.5,82,16,13,29,0.2,0.2,0.2,0.3
430837,2019,2,10,1,12,31.33,39.1037,40.3602,14.18,2.3,0.2,0.15,1,0.8,125,10,8,18,0.3,0.7,0.7,1
430842,2019,2,10,5,24,13.44,38.7467,38.1473,19.12,3.01,0.18,0.23,1.2,2.4,68,10,11,21,0.6,1,5.9,6
430936,2019,2,10,21,45,10.93,37.4997,36.2185,12,2.85,0.21,0.23,0.9,0.7,68,17,10,27,0.4,0.4,0.5,0.8
430964,2019,2,11,5,23,56.23,39.1473,40.4632,21.28,3.97,0.48,0.18,0.7,0.8,57,16,11,27,0.2,0.3,0.7,0.8
430965,2019,2,11,5,51,46.01,39.1515,40.4648,15.46,3.32,0.31,0.24,0.9,1.8,100,15,11,26,0.3,0.5,3.4,3.4
431025,2019,2,12,7,53,57.87,39.2302,40.3352,18.08,2.88,0.29,0.13,0.8,0.4,84,11,11,22,0.3,0.3,0.2,0.5
431055,2019,2,12,18,34,24.91,37.8975,37.824,13.41,2.68,0.18,0.36,1.5,1.9,109,11,12,23,1,1.3,3.8,4.2
431075,2019,2,13,8,53,20.27,37.6993,37.3533,31.69,2.75,0.15,0.43,2.4,1.5,83,12,10,22,4,1.8,2.2,4.9
431154,2019,2,14,23,20,18.69,39.3132,40.2145,15.19,2.91,0.26,0.21,1.2,1.8,109,15,10,25,0.5,0.9,3.4,3.6
431198,2019,2,15,17,49,32.05,38.2773,38.7737,1.66,2.91,0.19,0.12,1,1.3,124,11,10,21,0.4,0.5,1.8,1.9
